chromosome event RD Delly Lumpy Pindel SVelter erds erds.SNPs
1 het RD10 0.202977777786 0.362583333386 1.43810833342 3.57255000002 0.738405555553 1.02324722217
2 het RD10 0.196238888899 0.35100555559 1.31717500005 3.37236666666 0.774036111103 1.01074722224
1 het RD20 0.343736111124 0.765719444421 2.7125222222 4.38432222221 0.908861111071 1.18770555556
2 het RD20 0.328652777738 0.701250000066 2.74417777783 4.23898333338 0.894138888915 1.15030555553
1 het RD30 0.495505555537 1.09772777776 4.21623055557 4.79840833333 1.15755000002 1.57826944444
2 het RD30 0.457872222198 1.04388055563 3.7862166667 4.93124722222 1.0980277778 1.47093611108
1 het RD40 0.643813888894 1.45658611119 5.29763611111 6.19502777775 1.38521388888 1.72114722219
2 het RD40 0.618638888862 1.4130805556 5.43081944446 5.79609444439 1.3582222222 1.6796611111
1 het RD50 0.829941666656 1.83994999998 7.26153888888 7.26703611109 1.65214999994 1.91001388888
2 het RD50 0.744563888907 1.74761944446 6.48658333335 7.37235000001 1.61616388884 1.98101388892
1 homo RD10 0.212394444479 0.383016666704 1.4190666667 3.78312777778 0.863805555569 1.06756944444
2 homo RD10 0.229883333378 0.365211111175 1.35242500001 3.67333333333 0.902383333312 0.929180555542
1 homo RD20 0.363175000019 0.762147222294 2.87528055555 4.85206388884 1.02512500001 1.25956666662
2 homo RD20 0.359399999976 0.726769444479 2.79078611109 4.26606944448 1.030625 1.31825555556
1 homo RD30 0.538322222233 1.15715277778 4.15510555552 5.36614722225 1.28717777782 1.50813333333
2 homo RD30 0.515094444421 1.13011944446 4.30134166671 5.66995277782 1.25584722221 1.41826111111
1 homo RD40 0.716236111124 1.54975555559 5.92268333336 7.18060555551 1.54834444443 1.7057555555
2 homo RD40 0.69867777778 1.49217499998 5.68925833338 6.96561111106 1.50830277774 1.76145555556
1 homo RD50 0.858705555598 1.93490000003 6.92396666666 8.38177499996 1.77490000003 1.96005555557
2 homo RD50 0.810777777831 1.85951666666 7.20934722225 8.17298888889 1.74621944447 1.96632499999
1 comp_het RD10 0.197541666693 0.354738888873 1.36418611109 4.29792500006 0.675086111095 1.07755555557
2 comp_het RD10 0.203305555582 0.346616666648 1.39501388888 3.67015555554 0.78655277782 1.08505833328
1 comp_het RD20 0.328241666688 0.704494444463 2.5268527778 4.2443638889 0.839019444452 1.21038888892
2 comp_het RD20 0.334738888939 0.703205555545 2.73658333335 5.32518055558 0.935052777794 1.26165277772
1 comp_het RD30 0.458791666627 1.06823888891 4.23227777779 5.01987499999 1.1282444444 1.4775111111
2 comp_het RD30 0.459430555569 1.04801111115 4.21183611108 4.71966944443 1.16335555553 1.4104055555
1 comp_het RD40 0.592208333347 1.40517222219 5.4219083333 6.81261944446 1.34736944444 1.70564444449
2 comp_het RD40 0.599947222273 1.40123333335 5.29225277781 6.93321388887 1.41044722219 1.74017777774
1 comp_het RD50 0.746430555582 1.75588611113 6.53085833331 8.62932777782 1.69980277783 2.05244444443
2 comp_het RD50 0.73788055559 1.75602500002 6.62158888883 8.59809722218 1.63152222223 1.97773333338
1 comp_homo RD10 0.201199999981 0.35954166664 1.35930555562 3.31823055559 0.797683333357 1.07222222222
2 comp_homo RD10 0.202347222235 0.354597222209 1.39050277776 3.82965277778 0.850733333296 0.963786111077
1 comp_homo RD20 0.34071388887 0.726447222233 2.78545277781 4.10139166666 0.998280555606 1.254725
2 comp_homo RD20 0.351105555561 0.703144444426 2.64202499992 5.70228611112 1.00507499999 1.23510555559
1 comp_homo RD30 0.522475000024 1.11889166666 4.26232499997 6.27043055554 1.26666111112 1.56631666667
2 comp_homo RD30 0.480858333309 1.06140277783 3.90976666662 6.67004444447 1.24601111107 1.47676944448
1 comp_homo RD40 0.637475000024 1.44968611108 5.37126944449 7.4140361111 1.55782500002 1.79490555551
2 comp_homo RD40 0.603605555561 1.41583611111 5.35704722219 7.93854722222 1.49479166667 1.67392499997
1 comp_homo RD50 0.760355555548 1.8009111111 6.87704722219 8.67817499995 1.73947777781 1.97169166664
2 comp_homo RD50 0.751933333344 1.76733611113 6.38986666666 9.45944722222 1.75967500005 1.97980833332
