NA12878	svelter	svelter_Deter	delly	lumpy	pindel	erds
chr1	7.7563	8.1399	1.0311	2.0465	*	1.8402
chr2	7.0589	8.0803	1.0261	2.1421	12.5220	1.8855
chr3	5.1461	7.2885	0.8034	1.6076	6.1863	1.5029
chr4	4.5744	5.0482	0.8908	1.5875	8.8362	1.4624
chr5	4.6423	6.5309	0.7101	1.5012	5.4523	1.3818
chr6	4.4831	6.0917	0.6068	1.4446	6.3549	1.3127
chr7	3.9558	4.3517	0.5985	1.3626	6.4219	1.2253
chr8	3.9148	4.0169	0.6163	1.1549	4.5544	1.1098
chr9	3.1073	3.9030	0.4053	1.1400	6.4134	0.9711
chr10	3.3541	4.2688	0.9472	1.3333	*	1.0850
chr11	3.4004	5.1496	0.5190	1.1100	6.5348	1.0935
chr12	3.8711	3.8876	0.5228	1.0619	4.5107	1.0104
chr13	2.1006	2.6200	0.3366	0.7194	2.9312	0.7976
chr14	2.1463	2.8993	0.3229	0.6918	4.5669	0.6919
chr15	1.9132	2.2677	0.3394	0.6742	2.5471	0.6413
chr16	2.4926	2.8907	1.1966	0.8031	6.8067	0.6750
chr17	2.7244	3.1702	0.3684	0.7396	4.9526	0.5785
chr18	2.1359	2.0556	0.2963	0.6178	4.8910	0.5896
chr19	2.2808	2.6884	0.3236	0.5499	5.4751	0.4446
chr20	1.9088	2.0844	0.1918	0.5021	2.6400	0.4748
chr21	0.9333	0.9481	0.1707	0.3271	1.9323	0.3029
chr22	1.0984	1.1790	0.1330	0.3045	1.4041	0.2847
chrX	0.0177	3.0627	0.5033	1.2475	5.0937	0.9118
chrY	0.0147	0.0225	0.1002	0.0693	0.9933	0.0000
chrM	0.0127	0.0036	0.0110	0.0753	0.3625	0.0001
