CHM1	SVelter	SVelter_Deter	Delly	Lumpy	Pindel	erds	erds.SNPs
chr1	9.5060	8.3730	0.8788	2.5672	*	1.9978	1.9978
chr2	7.1487	7.5820	1.1926	2.7720	*	1.9993	1.9993
chr3	5.2191	6.0434	0.6453	1.9656	8.5682	1.6912	1.6912
chr4	4.3896	5.2188	1.7953	2.1695	*	1.8294	1.8294
chr5	5.1754	5.6669	0.5578	1.7791	8.5182	1.7013	1.7013
chr6	5.5417	5.2305	0.5559	1.6595	8.9597	1.5830	1.5830
chr7	4.5091	5.6834	0.7061	1.7072	14.0332	1.6254	1.6254
chr8	4.0179	4.7164	0.5500	1.6530	10.1274	1.5624	1.5624
chr9	3.6400	4.3798	0.4488	1.3486	20.5791	1.3024	1.3024
chr10	4.1413	4.4271	1.4219	2.1048	*	1.4403	1.4403
chr11	4.7622	4.9356	0.6116	1.4612	18.0269	1.3558	1.3558
chr12	3.6577	4.3588	0.4861	1.4581	7.0945	1.4123	1.4123
chr13	2.6074	2.7384	0.3128	0.8736	4.3669	1.1986	1.1986
chr14	2.7459	3.1380	0.3257	0.8921	4.5616	1.1442	1.1442
chr15	2.1376	2.3653	0.2859	0.8977	4.7775	1.0870	1.0870
chr16	3.2346	3.6308	1.3777	1.0944	18.1895	1.0751	1.0751
chr17	3.6999	3.4164	0.3890	0.9626	8.4815	1.0069	1.0069
chr18	2.2126	2.2896	0.3229	0.7885	26.7543	0.9815	0.9815
chr19	3.4858	3.9819	0.2769	0.7717	14.9444	0.9235	0.9235
chr20	2.3910	3.1536	0.2474	0.7286	4.8739	0.9028	0.9028
chr21	0.8581	0.9723	0.2275	0.4901	8.2885	0.7446	0.7446
chr22	1.6659	0.0045	0.1663	0.4544	2.4093	0.7786	0.7786
chrX	2.2511	2.2640	0.4671	1.3717	9.1480	1.3650	1.3650
chrY	0.0758	0.0957	0.4455	0.4894	0.0404	0.6003	0.6003
chrM	0.0026	0.0014	0.0148	0.2057	0.7855	0.5769	0.5769
